question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,ka,difficulty,difficulty_b,concept_tags
"A large, multi-year program requires the Business Analyst to define how all subsequent planning will be conducted. To align the BA approach (3.1) with the overall goals of the change, the most critical external input is the:",Needs (problem or opportunity).,Business Analysis Performance Assessment.,Business Policies.,Methodologies and Frameworks.,A,The business analysis approach is fundamentally shaped by the problem or opportunity (Needs) faced by the organization; understanding this need is essential for defining the method.,Business Analysis Planning and Monitoring,Medium,0.22,"BA-Planning,Inputs,Needs,"
The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review critical?,To approve the BA budget and schedule.,To ensure the approach aligns with the overall project schedule and timelines.,To validate the technical feasibility of the proposed solutions.,To define the level of formality for documentation.,B,The Project Manager ensures the BA approach is realistic for the overall schedule and compatible with other project activities.,Business Analysis Planning and Monitoring,Medium,-0.15,"BA-Planning,Stakeholders,Project-Manager,"
"You are initiating a high-profile, cross-functional initiative impacting five departments, three of which have vocal, dissenting managers. In the Plan Stakeholder Engagement task (3.2), what activity is most vital to managing potential conflict?",Conducting a formal workshop to define the business objectives.,"Performing an in-depth Stakeholder Analysis to identify their roles, attitudes, and influence.",Defining the Stakeholder Communication Plan to minimize direct interaction.,Presenting the completed Governance Approach for immediate approval.,B,"Performing a detailed Stakeholder Analysis (element 3.2.4.1) to understand attitudes, influence, and authority levels is vital for defining effective collaboration strategies to increase cooperation and manage potential negative impacts,.",Business Analysis Planning and Monitoring,Medium,0.55,"Stakeholder-Engagement,Stakeholder-Analysis,Conflict-Resolution,"
"During the execution of a change, a key stakeholder's attitude shifts from positive to highly negative due to perceived budget constraints. What is the immediate responsibility of the Business Analyst in managing this engagement (4.5)?",Update the Business Analysis Approach to reflect increased formality.,Develop risk plans and strategies tailored to mitigate the stakeholder’s negative attitude.,Remove the stakeholder from the communication plan to avoid further disruption.,Escalate the issue directly to the sponsor for resolution.,B,"If a key stakeholder views a change negatively, the BA must develop risk plans and strategies to obtain the required level of support and address the attitude through collaboration approaches,,.",Business Analysis Planning and Monitoring,Hard,2.85,"Stakeholder-Engagement,Behavioural-Characteristics,Risk-Analysis,"
The primary input used to perform a comprehensive Stakeholder Analysis during the Plan Stakeholder Engagement task (3.2) is/are the:,Needs and the Business Analysis Approach.,Current State Description and Change Strategy.,Business Analysis Performance Assessment.,Governance Approach.,A,"The Needs help identify affected parts of the enterprise, guiding initial stakeholder identification, and the Business Analysis Approach ensures consistency in planning the engagement.",Business Analysis Planning and Monitoring,Medium,0,"Stakeholder-Engagement,Inputs,"
"Which technique is explicitly recommended for detailing the relationships between stakeholders and the solution, aiding the Plan Stakeholder Engagement task (3.2)?","Stakeholder List, Map, or Personas.",Business Rules Analysis.,Root Cause Analysis.,Functional Decomposition.,A,"Stakeholder List, Map, or Personas is specifically used to depict the relationship of stakeholders to the solution and to one another, informing collaboration planning,.",Business Analysis Planning and Monitoring,Easy,-2.1,"Stakeholder-Engagement,Techniques,Stakeholder-Map,"
A BA is drafting a stakeholder communication plan. Which factor determines the appropriate level of detail and formality for communication to a specific stakeholder group?,Their proximity to the development team.,The level of interest and influence they possess.,The complexity of the solution components.,The frequency of scheduled project meetings.,B,"Understanding the stakeholder’s characteristics, particularly their attitudes and level of influence/impact, dictates the communication approach, formality, and level of detail required,.",Business Analysis Planning and Monitoring,Medium,0.45,"Stakeholder-Engagement,Communication-Skills,"
The task Plan Stakeholder Engagement (3.2) directly supports the realization of which core concept by ensuring that all relevant viewpoints are considered in the initiative?,Context.,Value.,Stakeholder.,Change.,C,Business analysts perform a stakeholder analysis during BAPM to ensure planning and monitoring activities reflect stakeholder needs and account for stakeholder characteristics.,Business Analysis Planning and Monitoring,Easy,-2.5,"Stakeholder-Engagement,Core-Concepts,"
A crucial step in defining stakeholder collaboration involves planning different engagement approaches for internal and external groups. Why might external stakeholders require a more deliberate and formal collaboration approach?,External stakeholders inherently possess higher power.,External parties often operate under contractual agreements necessitating formality.,External stakeholders are typically geographically dispersed.,External parties contribute less value to the overall initiative.,B,"Contracts or agreements often necessitate high formality in engagement and deliverables, significantly influencing the collaboration approach with external suppliers or regulators,.",Business Analysis Planning and Monitoring,Medium,0.3,"Stakeholder-Engagement,Formality,External-Stakeholders,"
"In an organization utilizing a complex, predictive methodology, the BA is defining the governance approach (3.3). What is the primary purpose of this task (3.3)?",To ensure that requirements are specified in enough detail for implementation.,"To define how decisions are made about requirements and designs, including change control and approvals.",To establish the method for storing and accessing business analysis information.,To identify and allocate resources to monitor solution performance.,B,"The purpose of Plan Business Analysis Governance (3.3) is to define how decisions are made about requirements and designs, encompassing reviews, change control, approvals, and prioritization.",Business Analysis Planning and Monitoring,Easy,-1.9,"BA-Governance,Purpose,Decision-Making,"
The Business Analyst must establish who has the authority to approve changes to baselined requirements in a highly regulated industry. This activity is a key element of which task?,Plan Business Analysis Governance (3.3).,Assess Requirements Changes (5.4).,Approve Requirements (5.5).,Plan Business Analysis Information Management (3.4).,A,Defining who will authorize changes is an element of establishing the Change Control Process within the Plan Business Analysis Governance task (3.3).,Business Analysis Planning and Monitoring,Medium,0.12,"BA-Governance,Change-Control,"
"A project is starting with high uncertainty regarding technical feasibility. When planning the prioritization approach (3.3), which factor related to complexity and risk should the BA consider applying during prioritization?",Prioritizing requirements based solely on the highest perceived business benefit.,Prioritizing the most technically difficult requirements first to resolve high risks early.,Implementing a MoSCoW approach governed by the Sponsor.,Deferring all prioritization until the design options are fully assessed.,B,"If there is a high risk that the solution is not technically feasible, the requirement that is most difficult to implement may be prioritized to the top of the list in order to minimize wasted resources before discovering the lack of feasibility.",Business Analysis Planning and Monitoring,Hard,2.25,"BA-Governance,Prioritization,Risk,"
Which input is necessary for the Plan Business Analysis Governance task (3.3) to ensure that decision-making bodies reflect stakeholder needs?,Stakeholder Engagement Approach.,Business Analysis Approach.,Business Policies.,Current State Description.,A,"The Stakeholder Engagement Approach provides information regarding which stakeholders exist and their communication/collaboration needs, which is useful in determining their participation in the governance approach.",Business Analysis Planning and Monitoring,Medium,-0.28,"BA-Governance,Inputs,"
A BA is developing the change control process within Plan Business Analysis Governance (3.3). Which item is NOT typically determined within this element?,How changes will be documented (configuration management standards).,Who will perform the impact analysis on a proposed change.,How often the solution performance will be measured.,Who will authorize proposed changes.,C,"How often solution performance is measured is defined in the Plan Business Analysis Information Management task (3.4) or Measure Solution Performance (8.1). The change control process focuses on handling requests, authorization, prioritization, and documentation of changes to requirements/designs,.",Business Analysis Planning and Monitoring,Medium,0.4,"BA-Governance,Change-Control,"
The primary output of Plan Business Analysis Governance (3.3) is the Governance Approach. What does this output define?,The metrics used for measuring the performance of business analysis work.,The process for defining the future state and gap analysis.,The stakeholders responsible for setting priorities and approving changes.,The location and format for storing all requirements artifacts.,C,"The Governance Approach identifies the stakeholders with responsibility/authority for decisions about BA work (priorities, approvals) and defines the process for managing requirement and design changes.",Business Analysis Planning and Monitoring,Easy,-1.75,"BA-Governance,Outputs,"
"When planning for approvals (3.3.4.4), the BA must determine the timing and frequency. This consideration is most dependent upon which factors?",The organizational culture and the type of information being approved.,The availability of the implementation subject matter experts.,The estimated cost of the overall project.,The number of outstanding defects in the legacy system.,A,"The timing and frequency of approvals are dependent on the size, complexity, and associated risks of the change, as well as the organizational culture and type of information being approved,.",Business Analysis Planning and Monitoring,Medium,0.33,"BA-Governance,Approvals,"
"During the Plan Business Analysis Information Management task (3.4), a BA must define how requirements will be structured and stored for future use. Which element specifically addresses maximizing the long-term utility of requirements across the enterprise?",Plan Traceability Approach.,Level of Abstraction.,Plan for Requirements Reuse.,Requirements Attributes.,C,"Planning for Requirements Reuse identifies requirements candidates for long-term use and determines how to structure, store, and access them to be usable for future BA efforts,.",Business Analysis Planning and Monitoring,Medium,0.52,"Information-Management,Requirements-Reuse,"
A BA is planning the information management approach (3.4). The organization has chosen a requirements management tool. The tool's capabilities heavily influence the selection of techniques and notations used on the initiative. Which tool capability would be most relevant to minimizing manual effort in maintaining requirements relationships?,Generating customizable reports and dashboards.,Supporting the definition and storage of requirements attributes.,Automating requirements traceability and versioning.,Facilitating collaboration through discussion forums.,C,"Requirements management tools provide support for requirements traceability, allowing the automatic maintenance of relationships, which is a major factor in efficiency,.",Business Analysis Planning and Monitoring,Medium,-0.05,"Information-Management,Tools-and-Technology,Traceability,"
"Which requirement attribute helps distinguish between relative value and implementation urgency, enabling effective sequencing?",Priority and Risks.,Author and Ownership.,Stability and Source.,Priority and Urgency.,D,"Priority indicates the relative importance of requirements, while Urgency indicates how soon the requirement is needed (often specified separately when a deadline exists for implementation),.",Business Analysis Planning and Monitoring,Easy,-2.2,"Information-Management,Requirements-Attributes,Prioritization,"
"A BA is defining the information management approach (3.4) for a new, highly complex solution. The key stakeholders are geographically dispersed and require rapid access to evolving models. Which consideration should drive the choice of storage location?",The level of abstraction required for the requirements.,"The need to support concurrent, multi-user access and real-time collaboration.",Organizational policies mandating PDF documentation only.,The projected retirement date of the solution.,B,"Storage decisions depend on who must access the information, how often they need to access it, and the conditions for access. For geographically dispersed stakeholders needing rapid access, tools supporting concurrent, collaborative access (like centralized repositories or cloud services) are crucial.",Business Analysis Planning and Monitoring,Hard,2.48,"Information-Management,Storage-Access,Collaboration,"
"When structuring business analysis information for the Plan Business Analysis Information Management task (3.4), defining relationships among information types is essential for:",Determining the final level of detail for all requirements.,Minimizing stakeholder communication needs.,Managing the effect of new or changed information in the future.,Ensuring compliance with legal/regulatory information.,C,"Relationships among types of information (like requirements, designs, models) must be defined to assist in managing the effect of new or changed information in the future, supporting traceability and impact analysis,.",Business Analysis Planning and Monitoring,Medium,0.6,"Information-Management,Relationships,"
The primary output of the Plan Business Analysis Information Management task (3.4) is the:,Information Management Approach.,Requirements Architecture.,Governance Approach.,Requirements (maintained).,A,"The output is the Information Management Approach, which includes the defined approach for how BA information will be stored, accessed, and utilized during and after the change.",Business Analysis Planning and Monitoring,Easy,-2.65,"Information-Management,Outputs,"
The primary purpose of Identify Business Analysis Performance Improvements (3.5) is to:,Define how requirements will be stored and reused.,Assess business analysis work and plan to improve processes where required.,Obtain formal approval on the business requirements.,Determine how decisions about changes will be managed.,B,The purpose of Identify Business Analysis Performance Improvements (3.5) is to assess BA work performance and plan process improvements.,Business Analysis Planning and Monitoring,Easy,-1.4,"BA-Performance,Purpose,"
A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous project phase. The analysis reveals that the rate of requirement defects detected late in the life cycle (post-development) significantly exceeded the organizational benchmark. This finding should immediately lead to a recommendation for which type of action?,"Preventive action, focusing on improving verification processes earlier in the lifecycle.","Corrective action, focusing on retraining the development team.","Improvement action, focusing on increasing technical resource allocation.","Acceptance action, noting the deviation as a one-time anomaly.",A,"The goal of identifying performance variances is to recommend actions. High late-stage defects suggest a failure in upstream quality checks (Verification, 7.2). A Preventive action aims to reduce the probability of a negative impact, such as implementing more rigorous peer reviews during requirements specification.",Business Analysis Planning and Monitoring,Hard,2.15,"BA-Performance,Verification,Preventive-Action,"
Which element of the Identify Business Analysis Performance Improvements task compares the performance of the BA process and deliverables against defined targets?,Performance Analysis.,Assessment Measures.,Analyze Results.,Recommend Actions for Improvement.,C,The Analyze Results element compares the BA process and deliverables against the set of defined measures (Assessment Measures).,Business Analysis Planning and Monitoring,Medium,-0.1,"BA-Performance,Analyze-Results,"
The BA collected qualitative feedback from stakeholders indicating that the models produced were difficult to use and required extensive verbal explanation. Which assessment measure characteristic does this feedback relate to?,Accuracy and Completeness.,Effectiveness.,Timeliness.,Significance.,B,Effectiveness assesses whether BA work products were easy to use as standalone deliverables or whether they required extensive explanation to be understood.,Business Analysis Planning and Monitoring,Medium,0.25,"BA-Performance,Assessment-Measures,"
"The key input that defines the desired outcomes that an enterprise is hoping to achieve, against which BA work performance is measured, is the:",Business Analysis Approach.,Performance Objectives (external).,Organizational Performance Standards.,Business Analysis Performance Assessment.,B,Performance Objectives (external) describe the desired performance outcomes that an enterprise or organization is hoping to achieve and serve as the standard against which BA performance is ultimately evaluated.,Business Analysis Planning and Monitoring,Easy,-1.95,"BA-Performance,Inputs,"
A Business Analyst uses Root Cause Analysis (a technique) during Identify Business Analysis Performance Improvements (3.5). What is the primary focus of applying this technique in this context?,To track all open issues and defects found during the BA effort.,To generate ideas for future improvement opportunities.,To identify the underlying cause of failures or difficulties in accomplishing BA work.,To determine whether the BA approach aligned with organizational standards.,C,"Root Cause Analysis helps identify the underlying cause of failures or difficulties in accomplishing business analysis work, ensuring that recommended improvements target the actual problem, not just the symptoms,.",Business Analysis Planning and Monitoring,Medium,0.48,"BA-Performance,Root-Cause-Analysis,"
The task Prepare for Elicitation (4.1) primarily involves:,Conducting the main elicitation activities and capturing outcomes.,Securing stakeholder commitment to implement the solution.,"Understanding the scope, selecting techniques, and planning logistics.",Confirming elicitation results against source documents.,C,"The purpose of Prepare for Elicitation is to understand the scope of the activity, select appropriate techniques, and plan for (or procure) appropriate supporting materials and resources.",Elicitation and Collaboration,Easy,-1.15,"Elicitation-Preparation,Purpose,"
A Business Analyst needs to elicit requirements for a major system overhaul. The domain subject matter experts are geographically dispersed across three continents. Which consideration is paramount when setting up the logistics (4.1.4.3)?,Ensuring the activity's goals are focused on non-functional requirements.,Selecting communication channels and scheduling times that accommodate multiple time zones.,Limiting the session duration to ensure sufficient detail capture.,Prioritizing highly experienced SMEs over less experienced staff.,B,"Setting up logistics includes identifying communication channels, locations, and scheduled resources. When stakeholders are geographically dispersed, timing considerations are critical.",Elicitation and Collaboration,Medium,0.38,"Elicitation-Preparation,Logistics,"
"When selecting elicitation techniques (4.1.4.2) for a politically sensitive project, a BA opts for one-on-one Interviews rather than a Workshop. This decision is primarily based on anticipating:",Difficulty in achieving consensus on requirements.,Low stakeholder availability and commitment.,The need to elicit private opinions that stakeholders may be reluctant to express publicly.,The overall cost and time constraints of the project.,C,"Interviews allow interviewees to express opinions in private that they may be reluctant to express in public, especially when confidentiality is maintained, making them suitable for politically sensitive topics.",Elicitation and Collaboration,Medium,0.72,"Elicitation-Preparation,Interviews,Conflict-Resolution,"
A BA is preparing for a session to define the scope of a complex regulatory reporting requirement. Which input helps the BA shape the objectives and focus of the elicitation activity?,Business Analysis Approach.,Stakeholder Engagement Approach.,Needs.,Potential Value.,C,The Needs (problem or opportunity) guides the preparation in terms of the scope and purpose of the elicitation activities.,Elicitation and Collaboration,Easy,-1.55,"Elicitation-Preparation,Inputs,"
The primary output of the Prepare for Elicitation task (4.1) is the:,Elicitation Results (unconfirmed).,Elicitation Activity Plan.,Business Analysis Information (communicated).,Stakeholder Engagement.,B,"The output is the Elicitation Activity Plan, which includes logistics, scope, selected techniques, and supporting materials for the specific activity.",Elicitation and Collaboration,Easy,-2.35,"Elicitation-Preparation,Outputs,"
A key element of preparing stakeholders (4.1.4.5) involves explaining the elicitation technique to ensure buy-in. What risk is mitigated by ensuring stakeholders understand the purpose and process of the session?,The risk of scope creep during the elicitation activity.,The risk that stakeholders may be unresponsive or challenging if they misunderstand the activity's purpose.,The risk that the elicitation results cannot be traced to the original needs.,The risk that key documents (supporting material) are unavailable.,B,"By preparing stakeholders, the BA mitigates the risk that stakeholders will be unresponsive or challenging if they feel the activity is misaligned to their objectives or if they are confused about the process.",Elicitation and Collaboration,Medium,0.08,"Elicitation-Preparation,Stakeholder-Management,"
A BA must select techniques for a session intended to collaboratively identify and reach consensus on possible causes of a known process delay. Which technique combination is most effective?,Interviews and Document Analysis.,Brainstorming and Mind Mapping.,Observation and Survey/Questionnaire.,Financial Analysis and Estimation.,B,Brainstorming and Mind Mapping are explicitly recommended to collaboratively identify and reach consensus about which sources of BA information should be consulted and which elicitation techniques might be most effective.,Elicitation and Collaboration,Medium,0.58,"Elicitation-Preparation,Brainstorming,Mind-Mapping,"
"A Business Analyst needs to discover information that cannot be reliably drawn from people or existing documents, such as confirming user behavior with a new interface element. Which type of elicitation should the BA plan to conduct?",Collaborative.,Research.,Experiments.,Observation.,C,"Experiments involve identifying information that could not be known without some sort of controlled test, such as proofs of concept or prototypes, used to discover unknown information.",Elicitation and Collaboration,Medium,0.18,"Elicitation-Execution,Experiments,"
"During the Conduct Elicitation task (4.2), a BA finds that stakeholders are repeatedly discussing topics outside the documented scope of the activity. What immediate action should the BA take, guided by the 'Guide Elicitation Activity' element?",Terminate the session immediately and reschedule.,Document the out-of-scope discussion thoroughly as new requirements.,"Recognize the deviation and guide the conversation back to the activity goal, or acknowledge and continue, based on their judgment.",Refer the topic to the Project Manager for formal change control assessment.,C,"The BA needs to recognize deviations in the moment to determine the next step: either acknowledge it and continue, or guide the conversation differently to keep it on track toward the expected outcomes.",Elicitation and Collaboration,Medium,0.44,"Elicitation-Execution,Interaction-Skills,"
Which technique involves defining key terms and ideas and establishing the relationships between them to organize domain knowledge elicited during an activity?,Concept Modelling.,Data Modelling.,Data Mining.,Business Rules Analysis.,A,"Concept Modelling is used to identify key terms and ideas of importance and define the relationships between them, structuring domain vocabulary and knowledge,.",Elicitation and Collaboration,Easy,-2.05,"Elicitation-Execution,Concept-Modelling,"
The primary output of the Conduct Elicitation task (4.2) is the:,Elicitation Results (unconfirmed).,Confirmed Elicitation Results.,Requirements (specified and modelled).,Requirements Architecture.,A,"The output is Elicitation Results (unconfirmed), which is captured information specific to the elicitation activity format (e.g., notes, diagrams, meeting minutes).",Elicitation and Collaboration,Easy,-1.8,"Elicitation-Execution,Outputs,"
"While conducting elicitation, a BA utilizes prototyping. What is the main benefit of using a prototype in this context?","To create final, deployable code quickly.",To elicit and validate stakeholders' needs through an iterative model.,To formally document all functional requirements.,To reduce the necessity for subsequent technical design.,B,"Prototyping is used to elicit and validate stakeholders' needs through an iterative process that creates a model of requirements or designs,.",Elicitation and Collaboration,Medium,0.28,"Elicitation-Execution,Prototyping,"
A BA is leading a highly productive collaborative game (4.2) intended to generate ideas for a new product feature set. Which behavioral characteristic is most necessary for the BA to demonstrate during the session to maximize creative output and participation?,Personal Accountability.,Creative Thinking.,Technical Expertise.,Trustworthiness.,B,"Collaborative games are intended to stimulate creative solutions. The BA needs Creative Thinking (an underlying competency) to encourage others, challenge assumptions, and generate innovative ideas,.",Elicitation and Collaboration,Medium,-0.22,"Elicitation-Execution,Creative-Thinking,Collaborative-Games,"
The purpose of Confirm Elicitation Results (4.3) is to:,Obtain formal approval of the requirements from the sponsor.,Check the gathered information for accuracy and consistency with other information.,Specify and model requirements into formal documentation.,Prioritize all elicited requirements based on business value.,B,"The purpose is to check the information gathered during elicitation for accuracy and consistency with other information, identifying and resolving errors, omissions, conflicts, and ambiguity before further resources are committed.",Elicitation and Collaboration,Easy,-1.3,"Elicitation-Confirmation,Purpose,"
A BA compares an elicitation result (a process model draft) against a foundational source document (a process guide) and identifies a conflict in activity sequencing. This activity is part of which element of Confirm Elicitation Results (4.3)?,Compare Elicitation Results Against Source Information.,Compare Elicitation Results Against Other Elicitation Results.,Perform Root Cause Analysis.,Verify Requirements.,A,Comparing results against source information (like documents or stakeholder knowledge) is performed to ensure the captured information accurately reflects the inputs received.,Elicitation and Collaboration,Medium,0.42,"Elicitation-Confirmation,Comparison,"
Why is confirming elicitation results (4.3) considered a less rigorous and formal review than the verification activities performed in the Requirements Analysis and Design Definition knowledge area?,"Confirmation typically involves technical subject matter experts, while verification checks adherence to quality standards and usability.","Confirmation focuses on initial accuracy and consistency of inputs, whereas verification checks adherence to quality standards and usability.","Confirmation requires written sign-off, whereas verification relies on verbal agreement.","Confirmation addresses scope, while verification addresses feasibility.",B,"Confirmation ensures captured information is correct and consistent before analysis; Verification (7.2) ensures the elaborated specifications and models meet quality standards and are usable for their purpose,.",Elicitation and Collaboration,Hard,1.88,"Elicitation-Confirmation,Verification,Quality-Checks,"
The primary output of the Confirm Elicitation Results task (4.3) is the:,Elicitation Results (confirmed).,Requirements (specified and modelled).,Design Options.,Current State Description.,A,"The output is Elicitation Results (confirmed), signifying that the BA and stakeholders agree the captured information is relevant and useful for further work.",Elicitation and Collaboration,Easy,-2.55,"Elicitation-Confirmation,Outputs,"
Which technique is explicitly used in Confirm Elicitation Results (4.3) to formally or informally check a set of results with a group of stakeholders?,Interviews.,Reviews.,Workshops.,Both B and C.,D,"Reviews are used to confirm a set of elicitation results, ranging from informal to formal depending on risk. Workshops can also be used to conduct reviews of drafted results.",Elicitation and Collaboration,Medium,-0.35,"Elicitation-Confirmation,Techniques,Reviews,"
The most crucial stakeholder group responsible for providing expertise to confirm that elicited information is correct and identifies omissions or inconsistencies is the:,Sponsor.,Project Manager.,Domain Subject Matter Expert.,Tester.,C,"Domain Subject Matter Experts possess substantial knowledge, experience, or expertise about the information being elicited and help confirm its correctness, identify omissions, inconsistencies, and conflicts.",Elicitation and Collaboration,Medium,0.5,"Elicitation-Confirmation,Stakeholders,D-SME,"
A BA is preparing a finalized communication package (4.4) for the Implementation Subject Matter Experts (SMEs). Which format should the BA prioritize to ensure the SMEs understand the required technical implementation details?,Informal documentation showing high-level process flows.,Presentations summarizing business goals and objectives.,"Formal documentation including detailed text, matrices, and UML diagrams.",Group collaboration sessions focused on conflict resolution.,C,"For Implementation SMEs (who need details for implementation/coding), Formal Documentation, which may include standardized templates, text, matrices, or diagrams, is often preferred as it provides a stable and consistent record.",Elicitation and Collaboration,Medium,0.32,"Communication,Formal-Documentation,I-SME,"
The primary purpose of Communicate Business Analysis Information (4.4) is to:,Obtain approvals for prioritized requirements.,Ensure stakeholders have a shared understanding of business analysis information.,Determine how the information will be stored and reused long-term.,Conduct post-implementation review of the solution.,B,"The purpose is to ensure stakeholders have a shared understanding of BA information, delivered at the right time and in the right format for their needs.",Elicitation and Collaboration,Easy,-1.65,"Communication,Purpose,"
