row_number,question_text,correct_answer,knowledge_area,concept_id,concept_name,relevance,reasoning
11,Which strategic analysis technique identifies internal strengths and weaknesses?...,A,Strategy Analysis,5db9a04a-dfce-4c56-9f58-c3badfb9972f,Internal-Factors,1.0,Matched from CSV tag 'internal-factors' (score: 100%)
12,A new initiative requires integrating two legacy systems. You anticipate significant stakeholder res...,C,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
12,A new initiative requires integrating two legacy systems. You anticipate significant stakeholder res...,C,Business Analysis Planning and Monitoring,fb18d046-f571-412f-b70b-9e121bacc34a,Stakeholder-Engagement-Approach,1.0,Matched from CSV tag 'Stakeholder-Engagement-Approach' (score: 100%)
13,The regulatory environment surrounding your project is highly complex and volatile. As you begin to ...,B,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
13,The regulatory environment surrounding your project is highly complex and volatile. As you begin to ...,B,Business Analysis Planning and Monitoring,87ca6a1e-446e-49c0-b878-d75f91db2fc2,Risk-Management,1.0,Matched from CSV tag 'Risk-Management' (score: 100%)
14,A business analyst is defining the structure for their forthcoming requirement package. What should ...,A,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
14,A business analyst is defining the structure for their forthcoming requirement package. What should ...,A,Business Analysis Planning and Monitoring,9bd328be-ed77-44fd-9a72-cbe56d835abd,Deliverables,1.0,Matched from CSV tag 'Deliverables' (score: 100%)
15,The purpose of the Plan Business Analysis Approach task (3.1) is best described as:...,A,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
15,The purpose of the Plan Business Analysis Approach task (3.1) is best described as:...,A,Business Analysis Planning and Monitoring,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,1.0,Matched from CSV tag 'Purpose' (score: 100%)
16,Which element of the Plan Business Analysis Approach task involves selecting whether requirements wi...,A,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
16,Which element of the Plan Business Analysis Approach task involves selecting whether requirements wi...,A,Business Analysis Planning and Monitoring,7f4f32ae-c772-47fb-9723-7dec2608ae0b,Planning-Approach,1.0,Matched from CSV tag 'Planning-Approach' (score: 100%)
17,The primary output of the Plan Business Analysis Approach task (3.1) is the:...,A,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
17,The primary output of the Plan Business Analysis Approach task (3.1) is the:...,A,Business Analysis Planning and Monitoring,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,1.0,Matched from CSV tag 'Outputs' (score: 100%)
18,"While defining the BA Approach, the business analyst uses Expert Judgment (a guideline/tool) to dete...",D,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
18,"While defining the BA Approach, the business analyst uses Expert Judgment (a guideline/tool) to dete...",D,Business Analysis Planning and Monitoring,0dc06fc4-3c7f-432b-a7f0-8eb78eccb296,Expert-Judgment,1.0,Matched from CSV tag 'Expert-Judgment' (score: 100%)
19,A Business Analyst determined that a project's high complexity and the organization’s low tolerance ...,B,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
19,A Business Analyst determined that a project's high complexity and the organization’s low tolerance ...,B,Business Analysis Planning and Monitoring,5c8ea049-e0ec-4fb1-9521-bd7a45e0cab0,Risk,1.0,Matched from CSV tag 'Risk' (score: 100%)
19,A Business Analyst determined that a project's high complexity and the organization’s low tolerance ...,B,Business Analysis Planning and Monitoring,b8933715-38c7-41ce-8779-5e834690dd18,Predictive,1.0,Matched from CSV tag 'Predictive' (score: 100%)
20,"A large, multi-year program requires the Business Analyst to define how all subsequent planning will...",A,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
20,"A large, multi-year program requires the Business Analyst to define how all subsequent planning will...",A,Business Analysis Planning and Monitoring,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,1.0,Matched from CSV tag 'Inputs' (score: 100%)
20,"A large, multi-year program requires the Business Analyst to define how all subsequent planning will...",A,Business Analysis Planning and Monitoring,050d58a1-472f-46f4-89f6-0900fdf6488e,Needs,1.0,Matched from CSV tag 'Needs' (score: 100%)
21,The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review criti...,B,Business Analysis Planning and Monitoring,0dbe6fb7-2681-4a63-9782-acf1bf2fb0ee,Ba-Planning,1.0,Matched from CSV tag 'BA-Planning' (score: 100%)
21,The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review criti...,B,Business Analysis Planning and Monitoring,03055617-3d86-4d9f-8671-794d03261bed,Stakeholders,1.0,Matched from CSV tag 'Stakeholders' (score: 100%)
21,The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review criti...,B,Business Analysis Planning and Monitoring,2e0d0036-fe0e-4c8f-b0a5-e42fcb1f2087,Project-Manager,1.0,Matched from CSV tag 'Project-Manager' (score: 100%)
22,"You are initiating a high-profile, cross-functional initiative impacting five departments, three of ...",B,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'Stakeholder-Engagement' (score: 100%)
22,"You are initiating a high-profile, cross-functional initiative impacting five departments, three of ...",B,Business Analysis Planning and Monitoring,fee42d0d-4f45-424c-acee-15bd802d532f,Stakeholder-Analysis,1.0,Matched from CSV tag 'Stakeholder-Analysis' (score: 100%)
23,"During the execution of a change, a key stakeholder's attitude shifts from positive to highly negati...",B,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'Stakeholder-Engagement' (score: 100%)
23,"During the execution of a change, a key stakeholder's attitude shifts from positive to highly negati...",B,Business Analysis Planning and Monitoring,a2093a0d-500e-407b-8c73-074f2000b6b3,Risk-Analysis,1.0,Matched from CSV tag 'Risk-Analysis' (score: 100%)
24,The primary input used to perform a comprehensive Stakeholder Analysis during the Plan Stakeholder E...,A,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'Stakeholder-Engagement' (score: 100%)
24,The primary input used to perform a comprehensive Stakeholder Analysis during the Plan Stakeholder E...,A,Business Analysis Planning and Monitoring,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,1.0,Matched from CSV tag 'Inputs' (score: 100%)
25,Which technique is explicitly recommended for detailing the relationships between stakeholders and t...,A,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'Stakeholder-Engagement' (score: 100%)
25,Which technique is explicitly recommended for detailing the relationships between stakeholders and t...,A,Business Analysis Planning and Monitoring,cc52e087-c9e9-4236-8658-ccbfbbe380b9,Techniques,1.0,Matched from CSV tag 'Techniques' (score: 100%)
25,Which technique is explicitly recommended for detailing the relationships between stakeholders and t...,A,Business Analysis Planning and Monitoring,34f4df70-3cd2-4793-9293-2aa7b7918137,Stakeholder-Map,1.0,Matched from CSV tag 'Stakeholder-Map' (score: 100%)
26,A BA is drafting a stakeholder communication plan. Which factor determines the appropriate level of ...,B,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'Stakeholder-Engagement' (score: 100%)
27,The task Plan Stakeholder Engagement (3.2) directly supports the realization of which core concept b...,C,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'Stakeholder-Engagement' (score: 100%)
27,The task Plan Stakeholder Engagement (3.2) directly supports the realization of which core concept b...,C,Business Analysis Planning and Monitoring,451df097-1f3a-4d6e-a921-5ad51c81da1e,Core-Concepts,1.0,Matched from CSV tag 'Core-Concepts' (score: 100%)
28,A crucial step in defining stakeholder collaboration involves planning different engagement approach...,B,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'Stakeholder-Engagement' (score: 100%)
28,A crucial step in defining stakeholder collaboration involves planning different engagement approach...,B,Business Analysis Planning and Monitoring,7f990fc8-576f-477b-b7a9-089d513e0081,External-Stakeholders,1.0,Matched from CSV tag 'External-Stakeholders' (score: 100%)
29,"In an organization utilizing a complex, predictive methodology, the BA is defining the governance ap...",B,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Matched from CSV tag 'BA-Governance' (score: 100%)
29,"In an organization utilizing a complex, predictive methodology, the BA is defining the governance ap...",B,Business Analysis Planning and Monitoring,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,1.0,Matched from CSV tag 'Purpose' (score: 100%)
30,The Business Analyst must establish who has the authority to approve changes to baselined requiremen...,A,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Matched from CSV tag 'BA-Governance' (score: 100%)
30,The Business Analyst must establish who has the authority to approve changes to baselined requiremen...,A,Business Analysis Planning and Monitoring,34f8b7da-3609-4f56-b01d-b50825628e30,Change-Control,1.0,Matched from CSV tag 'Change-Control' (score: 100%)
31,A project is starting with high uncertainty regarding technical feasibility. When planning the prior...,B,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Matched from CSV tag 'BA-Governance' (score: 100%)
31,A project is starting with high uncertainty regarding technical feasibility. When planning the prior...,B,Business Analysis Planning and Monitoring,5c8ea049-e0ec-4fb1-9521-bd7a45e0cab0,Risk,1.0,Matched from CSV tag 'Risk' (score: 100%)
32,Which input is necessary for the Plan Business Analysis Governance task (3.3) to ensure that decisio...,A,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Matched from CSV tag 'BA-Governance' (score: 100%)
32,Which input is necessary for the Plan Business Analysis Governance task (3.3) to ensure that decisio...,A,Business Analysis Planning and Monitoring,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,1.0,Matched from CSV tag 'Inputs' (score: 100%)
33,A BA is developing the change control process within Plan Business Analysis Governance (3.3). Which ...,C,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Matched from CSV tag 'BA-Governance' (score: 100%)
33,A BA is developing the change control process within Plan Business Analysis Governance (3.3). Which ...,C,Business Analysis Planning and Monitoring,34f8b7da-3609-4f56-b01d-b50825628e30,Change-Control,1.0,Matched from CSV tag 'Change-Control' (score: 100%)
34,The primary output of Plan Business Analysis Governance (3.3) is the Governance Approach. What does ...,C,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Matched from CSV tag 'BA-Governance' (score: 100%)
34,The primary output of Plan Business Analysis Governance (3.3) is the Governance Approach. What does ...,C,Business Analysis Planning and Monitoring,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,1.0,Matched from CSV tag 'Outputs' (score: 100%)
35,"When planning for approvals (3.3.4.4), the BA must determine the timing and frequency. This consider...",A,Business Analysis Planning and Monitoring,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Matched from CSV tag 'BA-Governance' (score: 100%)
35,"When planning for approvals (3.3.4.4), the BA must determine the timing and frequency. This consider...",A,Business Analysis Planning and Monitoring,2bb082d6-b226-478c-908b-ca954b2f5fe3,Approvals,1.0,Matched from CSV tag 'Approvals' (score: 100%)
36,"During the Plan Business Analysis Information Management task (3.4), a BA must define how requiremen...",C,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Matched from CSV tag 'Information-Management' (score: 100%)
36,"During the Plan Business Analysis Information Management task (3.4), a BA must define how requiremen...",C,Business Analysis Planning and Monitoring,33eb34bc-af8e-4b15-894c-2d1ad3d2ee1b,Requirements-Reuse,1.0,Matched from CSV tag 'Requirements-Reuse' (score: 100%)
37,A BA is planning the information management approach (3.4). The organization has chosen a requiremen...,C,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Matched from CSV tag 'Information-Management' (score: 100%)
38,"Which requirement attribute helps distinguish between relative value and implementation urgency, ena...",D,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Matched from CSV tag 'Information-Management' (score: 100%)
38,"Which requirement attribute helps distinguish between relative value and implementation urgency, ena...",D,Business Analysis Planning and Monitoring,aefd3ba8-a618-4627-92a8-e15721045b39,Requirements-Attributes,1.0,Matched from CSV tag 'Requirements-Attributes' (score: 100%)
39,"A BA is defining the information management approach (3.4) for a new, highly complex solution. The k...",B,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Matched from CSV tag 'Information-Management' (score: 100%)
39,"A BA is defining the information management approach (3.4) for a new, highly complex solution. The k...",B,Business Analysis Planning and Monitoring,d8f89b37-30fe-4777-b4fe-ed697a41b46d,Storage-Access,1.0,Matched from CSV tag 'Storage-Access' (score: 100%)
39,"A BA is defining the information management approach (3.4) for a new, highly complex solution. The k...",B,Business Analysis Planning and Monitoring,0ab4c696-66f5-4e92-badd-595af2f395d3,Collaboration,1.0,Matched from CSV tag 'Collaboration' (score: 100%)
40,When structuring business analysis information for the Plan Business Analysis Information Management...,C,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Matched from CSV tag 'Information-Management' (score: 100%)
40,When structuring business analysis information for the Plan Business Analysis Information Management...,C,Business Analysis Planning and Monitoring,da9b8fce-36b0-43d5-84f1-d3e6c0cb7cb3,Relationships,1.0,Matched from CSV tag 'Relationships' (score: 100%)
41,The primary output of the Plan Business Analysis Information Management task (3.4) is the:...,A,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Matched from CSV tag 'Information-Management' (score: 100%)
41,The primary output of the Plan Business Analysis Information Management task (3.4) is the:...,A,Business Analysis Planning and Monitoring,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,1.0,Matched from CSV tag 'Outputs' (score: 100%)
42,The primary purpose of Identify Business Analysis Performance Improvements (3.5) is to:...,B,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Matched from CSV tag 'BA-Performance' (score: 100%)
42,The primary purpose of Identify Business Analysis Performance Improvements (3.5) is to:...,B,Business Analysis Planning and Monitoring,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,1.0,Matched from CSV tag 'Purpose' (score: 100%)
43,A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous projec...,A,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Matched from CSV tag 'BA-Performance' (score: 100%)
43,A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous projec...,A,Business Analysis Planning and Monitoring,1cc67a85-d6b9-4521-924e-88fafd728fa5,Verification,1.0,Matched from CSV tag 'Verification' (score: 100%)
43,A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous projec...,A,Business Analysis Planning and Monitoring,f8f02780-a92e-4cb1-9d6e-0bbe32743492,Preventive-Action,1.0,Matched from CSV tag 'Preventive-Action' (score: 100%)
44,Which element of the Identify Business Analysis Performance Improvements task compares the performan...,C,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Matched from CSV tag 'BA-Performance' (score: 100%)
44,Which element of the Identify Business Analysis Performance Improvements task compares the performan...,C,Business Analysis Planning and Monitoring,45253970-c6ef-40eb-ad0c-562b8639f8b6,Analyze-Results,1.0,Matched from CSV tag 'Analyze-Results' (score: 100%)
45,The BA collected qualitative feedback from stakeholders indicating that the models produced were dif...,B,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Matched from CSV tag 'BA-Performance' (score: 100%)
45,The BA collected qualitative feedback from stakeholders indicating that the models produced were dif...,B,Business Analysis Planning and Monitoring,38367190-2575-42ca-a131-67fc88f43c73,Assessment-Measures,1.0,Matched from CSV tag 'Assessment-Measures' (score: 100%)
46,"The key input that defines the desired outcomes that an enterprise is hoping to achieve, against whi...",B,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Matched from CSV tag 'BA-Performance' (score: 100%)
46,"The key input that defines the desired outcomes that an enterprise is hoping to achieve, against whi...",B,Business Analysis Planning and Monitoring,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,1.0,Matched from CSV tag 'Inputs' (score: 100%)
47,A Business Analyst uses Root Cause Analysis (a technique) during Identify Business Analysis Performa...,C,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Matched from CSV tag 'BA-Performance' (score: 100%)
47,A Business Analyst uses Root Cause Analysis (a technique) during Identify Business Analysis Performa...,C,Business Analysis Planning and Monitoring,7b0be0f5-b326-4f84-aaf5-600649bcbb6a,Root-Cause-Analysis,1.0,Matched from CSV tag 'Root-Cause-Analysis' (score: 100%)
48,The task Prepare for Elicitation (4.1) primarily involves:...,C,Elicitation and Collaboration,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,1.0,Matched from CSV tag 'Purpose' (score: 100%)
49,A Business Analyst needs to elicit requirements for a major system overhaul. The domain subject matt...,B,Elicitation and Collaboration,c47d549b-d5bd-46e4-a794-a042bf561227,Logistics,1.0,Matched from CSV tag 'Logistics' (score: 100%)
50,"When selecting elicitation techniques (4.1.4.2) for a politically sensitive project, a BA opts for o...",C,Elicitation and Collaboration,e49285a4-b6df-497c-a59d-a1d804675e3a,Interviews,1.0,Matched from CSV tag 'Interviews' (score: 100%)
51,A BA is preparing for a session to define the scope of a complex regulatory reporting requirement. W...,C,Elicitation and Collaboration,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,1.0,Matched from CSV tag 'Inputs' (score: 100%)
52,The primary output of the Prepare for Elicitation task (4.1) is the:...,B,Elicitation and Collaboration,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,1.0,Matched from CSV tag 'Outputs' (score: 100%)
53,A key element of preparing stakeholders (4.1.4.5) involves explaining the elicitation technique to e...,B,Elicitation and Collaboration,7f1fbe04-6c43-427b-9ce0-8914e1f11276,Stakeholder-Management,1.0,Matched from CSV tag 'Stakeholder-Management' (score: 100%)
54,A BA must select techniques for a session intended to collaboratively identify and reach consensus o...,B,Elicitation and Collaboration,63b6b0f9-66b5-4f4f-bb35-995d19c4f41c,Brainstorming,1.0,Matched from CSV tag 'Brainstorming' (score: 100%)
54,A BA must select techniques for a session intended to collaboratively identify and reach consensus o...,B,Elicitation and Collaboration,0191bd88-2c45-4c6a-9bb7-4234f5082a9a,Mind-Mapping,1.0,Matched from CSV tag 'Mind-Mapping' (score: 100%)
55,A Business Analyst needs to discover information that cannot be reliably drawn from people or existi...,C,Elicitation and Collaboration,2199866e-aaf3-4c4f-a989-755ba1145163,Experiments,1.0,Matched from CSV tag 'Experiments' (score: 100%)
56,"During the Conduct Elicitation task (4.2), a BA finds that stakeholders are repeatedly discussing to...",C,Elicitation and Collaboration,,NO MAPPING,,
57,Which technique involves defining key terms and ideas and establishing the relationships between the...,A,Elicitation and Collaboration,a2e60567-e54f-4761-b2b0-1aba262c38c6,Concept-Modelling,1.0,Matched from CSV tag 'Concept-Modelling' (score: 100%)
58,The primary output of the Conduct Elicitation task (4.2) is the:...,A,Elicitation and Collaboration,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,1.0,Matched from CSV tag 'Outputs' (score: 100%)
59,"While conducting elicitation, a BA utilizes prototyping. What is the main benefit of using a prototy...",B,Elicitation and Collaboration,f14d66c2-f452-4bca-9f26-05d7045e7847,Prototyping,1.0,Matched from CSV tag 'Prototyping' (score: 100%)
60,A BA is leading a highly productive collaborative game (4.2) intended to generate ideas for a new pr...,B,Elicitation and Collaboration,0230d6cd-35bd-4b58-87a0-3ec1f78ec669,Creative-Thinking,1.0,Matched from CSV tag 'Creative-Thinking' (score: 100%)
60,A BA is leading a highly productive collaborative game (4.2) intended to generate ideas for a new pr...,B,Elicitation and Collaboration,c8ae8494-dc90-4c7c-9e2f-f261fcf429f5,Collaborative-Games,1.0,Matched from CSV tag 'Collaborative-Games' (score: 100%)
61,The purpose of Confirm Elicitation Results (4.3) is to:...,B,Elicitation and Collaboration,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,1.0,Matched from CSV tag 'Purpose' (score: 100%)
62,A BA compares an elicitation result (a process model draft) against a foundational source document (...,A,Elicitation and Collaboration,a362c205-1775-46d0-be99-35c10c1d8c3c,Comparison,1.0,Matched from CSV tag 'Comparison' (score: 100%)
63,Why is confirming elicitation results (4.3) considered a less rigorous and formal review than the ve...,B,Elicitation and Collaboration,1cc67a85-d6b9-4521-924e-88fafd728fa5,Verification,1.0,Matched from CSV tag 'Verification' (score: 100%)
64,The primary output of the Confirm Elicitation Results task (4.3) is the:...,A,Elicitation and Collaboration,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,1.0,Matched from CSV tag 'Outputs' (score: 100%)
65,Which technique is explicitly used in Confirm Elicitation Results (4.3) to formally or informally ch...,D,Elicitation and Collaboration,cc52e087-c9e9-4236-8658-ccbfbbe380b9,Techniques,1.0,Matched from CSV tag 'Techniques' (score: 100%)
65,Which technique is explicitly used in Confirm Elicitation Results (4.3) to formally or informally ch...,D,Elicitation and Collaboration,d73737fa-2a94-45ed-bfb2-1bd65e20a587,Reviews,1.0,Matched from CSV tag 'Reviews' (score: 100%)
66,The most crucial stakeholder group responsible for providing expertise to confirm that elicited info...,C,Elicitation and Collaboration,03055617-3d86-4d9f-8671-794d03261bed,Stakeholders,1.0,Matched from CSV tag 'Stakeholders' (score: 100%)
66,The most crucial stakeholder group responsible for providing expertise to confirm that elicited info...,C,Elicitation and Collaboration,ba4b07c5-c70c-4e84-b875-f608b6a70ef7,D-Sme,1.0,Matched from CSV tag 'D-SME' (score: 100%)
