row_number,question_text,correct_answer,knowledge_area,concept_id,concept_name,relevance,reasoning
28,"Which requirement attribute helps distinguish between relative value and implementation urgency, ena...",D,Business Analysis Planning and Monitoring,aefd3ba8-a618-4627-92a8-e15721045b39,Requirements-Attributes,1.0,Primary concept from CSV (score: 100%)
29,"A BA is defining the information management approach (3.4) for a new, highly complex solution. The k...",B,Business Analysis Planning and Monitoring,d8f89b37-30fe-4777-b4fe-ed697a41b46d,Storage-Access,1.0,Primary concept from CSV (score: 100%)
29,"A BA is defining the information management approach (3.4) for a new, highly complex solution. The k...",B,Business Analysis Planning and Monitoring,0ab4c696-66f5-4e92-badd-595af2f395d3,Collaboration,0.7,Secondary concept from CSV tag 'collaboration' (score: 100%)
30,When structuring business analysis information for the Plan Business Analysis Information Management...,C,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Primary concept from CSV (score: 100%)
30,When structuring business analysis information for the Plan Business Analysis Information Management...,C,Business Analysis Planning and Monitoring,da9b8fce-36b0-43d5-84f1-d3e6c0cb7cb3,Relationships,0.7,Secondary concept from CSV tag 'relationships' (score: 100%)
31,The primary output of the Plan Business Analysis Information Management task (3.4) is the:...,A,Business Analysis Planning and Monitoring,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Primary concept from CSV (score: 100%)
31,The primary output of the Plan Business Analysis Information Management task (3.4) is the:...,A,Business Analysis Planning and Monitoring,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
32,The primary purpose of Identify Business Analysis Performance Improvements (3.5) is to:...,B,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Primary concept from CSV (score: 100%)
32,The primary purpose of Identify Business Analysis Performance Improvements (3.5) is to:...,B,Business Analysis Planning and Monitoring,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
33,A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous projec...,A,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Primary concept from CSV (score: 100%)
33,A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous projec...,A,Business Analysis Planning and Monitoring,f8f02780-a92e-4cb1-9d6e-0bbe32743492,Preventive-Action,0.7,Secondary concept from CSV tag 'preventive-action' (score: 100%)
34,Which element of the Identify Business Analysis Performance Improvements task compares the performan...,C,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Primary concept from CSV (score: 100%)
34,Which element of the Identify Business Analysis Performance Improvements task compares the performan...,C,Business Analysis Planning and Monitoring,45253970-c6ef-40eb-ad0c-562b8639f8b6,Analyze-Results,0.7,Secondary concept from CSV tag 'analyze-results' (score: 100%)
35,The BA collected qualitative feedback from stakeholders indicating that the models produced were dif...,B,Business Analysis Planning and Monitoring,38367190-2575-42ca-a131-67fc88f43c73,Assessment-Measures,1.0,Primary concept from CSV (score: 100%)
36,"The key input that defines the desired outcomes that an enterprise is hoping to achieve, against whi...",B,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,1.0,Primary concept from CSV (score: 100%)
36,"The key input that defines the desired outcomes that an enterprise is hoping to achieve, against whi...",B,Business Analysis Planning and Monitoring,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,0.7,Secondary concept from CSV tag 'inputs' (score: 100%)
37,A Business Analyst uses Root Cause Analysis (a technique) during Identify Business Analysis Performa...,C,Business Analysis Planning and Monitoring,7b0be0f5-b326-4f84-aaf5-600649bcbb6a,Root-Cause-Analysis,1.0,Primary concept from CSV (score: 100%)
37,A Business Analyst uses Root Cause Analysis (a technique) during Identify Business Analysis Performa...,C,Business Analysis Planning and Monitoring,714f2cff-a1da-440b-ae7b-e9204de0bee4,Ba-Performance,0.7,Secondary concept from CSV tag 'ba-performance' (score: 100%)
38,The task Prepare for Elicitation (4.1) primarily involves:...,C,Elicitation and Collaboration,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
39,A Business Analyst needs to elicit requirements for a major system overhaul. The domain subject matt...,B,Elicitation and Collaboration,c47d549b-d5bd-46e4-a794-a042bf561227,Logistics,1.0,Primary concept from CSV (score: 100%)
40,"When selecting elicitation techniques (4.1.4.2) for a politically sensitive project, a BA opts for o...",C,Elicitation and Collaboration,f4b8cc0e-eadd-42cd-b893-b4251d2d760e,Elicitation Techniques,1.0,Primary concept from CSV (score: 95%)
40,"When selecting elicitation techniques (4.1.4.2) for a politically sensitive project, a BA opts for o...",C,Elicitation and Collaboration,e49285a4-b6df-497c-a59d-a1d804675e3a,Interviews,0.7,Secondary concept from CSV tag 'interviews' (score: 100%)
41,A BA is preparing for a session to define the scope of a complex regulatory reporting requirement. W...,C,Elicitation and Collaboration,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,0.7,Secondary concept from CSV tag 'inputs' (score: 100%)
42,The primary output of the Prepare for Elicitation task (4.1) is the:...,B,Elicitation and Collaboration,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
43,A key element of preparing stakeholders (4.1.4.5) involves explaining the elicitation technique to e...,B,Elicitation and Collaboration,7f1fbe04-6c43-427b-9ce0-8914e1f11276,Stakeholder-Management,1.0,Primary concept from CSV (score: 100%)
44,A BA must select techniques for a session intended to collaboratively identify and reach consensus o...,B,Elicitation and Collaboration,3de4fd9d-1264-4ae3-9e6b-68fdd40ca62c,Consensus,1.0,Primary concept from CSV (score: 100%)
44,A BA must select techniques for a session intended to collaboratively identify and reach consensus o...,B,Elicitation and Collaboration,f4b8cc0e-eadd-42cd-b893-b4251d2d760e,Elicitation Techniques,0.7,Secondary concept from CSV tag 'elicitation-techniques' (score: 95%)
45,A Business Analyst needs to discover information that cannot be reliably drawn from people or existi...,C,Elicitation and Collaboration,2199866e-aaf3-4c4f-a989-755ba1145163,Experiments,1.0,Primary concept from CSV (score: 100%)
46,"During the Conduct Elicitation task (4.2), a BA finds that stakeholders are repeatedly discussing to...",C,Elicitation and Collaboration,,NO MAPPING,,
47,Which technique involves defining key terms and ideas and establishing the relationships between the...,A,Elicitation and Collaboration,a2e60567-e54f-4761-b2b0-1aba262c38c6,Concept-Modelling,1.0,Primary concept from CSV (score: 100%)
48,The primary output of the Conduct Elicitation task (4.2) is the:...,A,Elicitation and Collaboration,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
49,"While conducting elicitation, a BA utilizes prototyping. What is the main benefit of using a prototy...",B,Elicitation and Collaboration,f14d66c2-f452-4bca-9f26-05d7045e7847,Prototyping,1.0,Primary concept from CSV (score: 100%)
49,"While conducting elicitation, a BA utilizes prototyping. What is the main benefit of using a prototy...",B,Elicitation and Collaboration,4a5baa17-58bd-445f-ae56-1ca57a29b4e7,Validation,0.7,Secondary concept from CSV tag 'validation' (score: 100%)
50,A BA is leading a highly productive collaborative game (4.2) intended to generate ideas for a new pr...,B,Elicitation and Collaboration,0230d6cd-35bd-4b58-87a0-3ec1f78ec669,Creative-Thinking,1.0,Primary concept from CSV (score: 100%)
50,A BA is leading a highly productive collaborative game (4.2) intended to generate ideas for a new pr...,B,Elicitation and Collaboration,c8ae8494-dc90-4c7c-9e2f-f261fcf429f5,Collaborative-Games,0.7,Secondary concept from CSV tag 'collaborative-games' (score: 100%)
51,The purpose of Confirm Elicitation Results (4.3) is to:...,B,Elicitation and Collaboration,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
52,A BA compares an elicitation result (a process model draft) against a foundational source document (...,A,Elicitation and Collaboration,a362c205-1775-46d0-be99-35c10c1d8c3c,Comparison,1.0,Primary concept from CSV (score: 100%)
53,Why is confirming elicitation results (4.3) considered a less rigorous and formal review than the ve...,B,Elicitation and Collaboration,,NO MAPPING,,
54,The primary output of the Confirm Elicitation Results task (4.3) is the:...,A,Elicitation and Collaboration,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
55,Which technique is explicitly used in Confirm Elicitation Results (4.3) to formally or informally ch...,D,Elicitation and Collaboration,d73737fa-2a94-45ed-bfb2-1bd65e20a587,Reviews,1.0,Primary concept from CSV (score: 100%)
55,Which technique is explicitly used in Confirm Elicitation Results (4.3) to formally or informally ch...,D,Elicitation and Collaboration,a7d0c4a2-2ee7-42fc-9460-fb67b0a14d1c,Workshops,0.7,Secondary concept from CSV tag 'workshops' (score: 100%)
56,The most crucial stakeholder group responsible for providing expertise to confirm that elicited info...,C,Elicitation and Collaboration,ba4b07c5-c70c-4e84-b875-f608b6a70ef7,D-Sme,1.0,Primary concept from CSV (score: 100%)
56,The most crucial stakeholder group responsible for providing expertise to confirm that elicited info...,C,Elicitation and Collaboration,03055617-3d86-4d9f-8671-794d03261bed,Stakeholders,0.7,Secondary concept from CSV tag 'stakeholders' (score: 100%)
57,A BA is preparing a finalized communication package (4.4) for the Implementation Subject Matter Expe...,C,Elicitation and Collaboration,a09b3bb7-3f46-4c18-9ebe-453c792854a0,Formal-Documentation,1.0,Primary concept from CSV (score: 100%)
57,A BA is preparing a finalized communication package (4.4) for the Implementation Subject Matter Expe...,C,Elicitation and Collaboration,60f55859-7940-4f34-bae7-7c6ed256ae83,I-Sme,0.7,Secondary concept from CSV tag 'i-sme' (score: 100%)
58,The primary purpose of Communicate Business Analysis Information (4.4) is to:...,B,Elicitation and Collaboration,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
59,A BA chooses an e-mail communication platform (4.4.4.2) for distributing a finalized data model upda...,C,Elicitation and Collaboration,,NO MAPPING,,
60,Which guideline/tool directly assists the BA in determining how the requirements package (content an...,A,Elicitation and Collaboration,33c03873-bf27-4c1f-8726-a9c049cc80af,Information-Management,1.0,Primary concept from CSV (score: 100%)
60,Which guideline/tool directly assists the BA in determining how the requirements package (content an...,A,Elicitation and Collaboration,58116332-0ce4-4126-b39b-1f75dd69ed6d,Guidelines,0.7,Secondary concept from CSV tag 'guidelines' (score: 100%)
61,The BA decides to host a workshop (a technique) to communicate the finalized requirements package (4...,B,Elicitation and Collaboration,a7d0c4a2-2ee7-42fc-9460-fb67b0a14d1c,Workshops,1.0,Primary concept from CSV (score: 100%)
61,The BA decides to host a workshop (a technique) to communicate the finalized requirements package (4...,B,Elicitation and Collaboration,3de4fd9d-1264-4ae3-9e6b-68fdd40ca62c,Consensus,0.7,Secondary concept from CSV tag 'consensus' (score: 100%)
62,"During Manage Stakeholder Collaboration (4.5), monitoring stakeholder engagement (4.5.4.2) is necess...",A,Elicitation and Collaboration,36cb917b-d26b-4831-a826-51c23d647901,Collaboration-Management,0.7,Secondary concept from CSV tag 'collaboration-management' (score: 100%)
63,The purpose of Manage Stakeholder Collaboration (4.5) is to:...,B,Elicitation and Collaboration,36cb917b-d26b-4831-a826-51c23d647901,Collaboration-Management,1.0,Primary concept from CSV (score: 100%)
63,The purpose of Manage Stakeholder Collaboration (4.5) is to:...,B,Elicitation and Collaboration,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
64,Which guideline/tool helps focus diverse stakeholders on a common vision of desired business outcome...,A,Elicitation and Collaboration,90873426-52e8-4ac7-ad58-72b204f8a07b,Future-State,1.0,Primary concept from CSV (score: 100%)
64,Which guideline/tool helps focus diverse stakeholders on a common vision of desired business outcome...,A,Elicitation and Collaboration,58116332-0ce4-4126-b39b-1f75dd69ed6d,Guidelines,0.7,Secondary concept from CSV tag 'guidelines' (score: 100%)
65,"When a conflict arises during collaboration, the BA must rely heavily on which Interaction Skill to ...",C,Elicitation and Collaboration,,NO MAPPING,,
66,The most critical output of Manage Stakeholder Collaboration (4.5) is:...,B,Elicitation and Collaboration,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Primary concept from CSV (score: 100%)
66,The most critical output of Manage Stakeholder Collaboration (4.5) is:...,B,Elicitation and Collaboration,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
67,A BA is tracing requirements (5.1) for a critical component of a complex system. The BA identifies a...,D,Requirements Life Cycle Management,094ae8ce-5fa1-45d2-aff7-4361536e973b,Satisfy,1.0,Primary concept from CSV (score: 100%)
67,A BA is tracing requirements (5.1) for a critical component of a complex system. The BA identifies a...,D,Requirements Life Cycle Management,da9b8fce-36b0-43d5-84f1-d3e6c0cb7cb3,Relationships,0.7,Secondary concept from CSV tag 'relationships' (score: 100%)
68,The purpose of Trace Requirements (5.1) is to:...,B,Requirements Life Cycle Management,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
69,Which external factor most significantly increases the required formality and effort needed when tra...,B,Requirements Life Cycle Management,,NO MAPPING,,
70,"During Trace Requirements (5.1), a BA links a high-level business requirement to a lower-level stake...",C,Requirements Life Cycle Management,97b8d2a9-9c8a-4695-aeed-907eac819636,Derive,1.0,Primary concept from CSV (score: 100%)
70,"During Trace Requirements (5.1), a BA links a high-level business requirement to a lower-level stake...",C,Requirements Life Cycle Management,da9b8fce-36b0-43d5-84f1-d3e6c0cb7cb3,Relationships,0.7,Secondary concept from CSV tag 'relationships' (score: 100%)
71,The Governance Approach serves as a critical input to Trace Requirements (5.1) because it helps the ...,A,Requirements Life Cycle Management,c5dd970b-fd7e-4397-aff9-5f5f12f92a67,Ba-Governance,1.0,Primary concept from CSV (score: 100%)
71,The Governance Approach serves as a critical input to Trace Requirements (5.1) because it helps the ...,A,Requirements Life Cycle Management,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,0.7,Secondary concept from CSV tag 'inputs' (score: 100%)
72,The output of Trace Requirements (5.1) is Requirements (traced) and Designs (traced). What is the pr...,A,Requirements Life Cycle Management,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
73,The core concept 'Solution' is primarily addressed during Trace Requirements (5.1) by ensuring that:...,B,Requirements Life Cycle Management,451df097-1f3a-4d6e-a921-5ad51c81da1e,Core-Concepts,1.0,Primary concept from CSV (score: 100%)
74,The purpose of Maintain Requirements (5.2) is to:...,B,Requirements Life Cycle Management,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
75,A business analyst is reviewing aged requirements for a core business process to determine if they a...,A,Requirements Life Cycle Management,33eb34bc-af8e-4b15-894c-2d1ad3d2ee1b,Requirements-Reuse,1.0,Primary concept from CSV (score: 100%)
75,A business analyst is reviewing aged requirements for a core business process to determine if they a...,A,Requirements Life Cycle Management,1dbc64da-243b-4944-b072-9b9af2179030,Regulatory,0.7,Secondary concept from CSV tag 'regulatory' (score: 100%)
76,"During Maintain Requirements (5.2), a BA notes that a requirement attribute, 'Stability,' has shifte...",B,Requirements Life Cycle Management,da9b8fce-36b0-43d5-84f1-d3e6c0cb7cb3,Relationships,1.0,Primary concept from CSV (score: 100%)
76,"During Maintain Requirements (5.2), a BA notes that a requirement attribute, 'Stability,' has shifte...",B,Requirements Life Cycle Management,6083f6f8-b195-4d5f-bd40-dbcc40c10053,Attributes,0.7,Secondary concept from CSV tag 'attributes' (score: 100%)
77,A BA uses Process Modelling as a technique during Maintain Requirements (5.2). How does this techniq...,C,Requirements Life Cycle Management,9b7edb50-f9f0-42f6-aa2f-732911ec7498,Process-Modelling,1.0,Primary concept from CSV (score: 100%)
77,A BA uses Process Modelling as a technique during Maintain Requirements (5.2). How does this techniq...,C,Requirements Life Cycle Management,33eb34bc-af8e-4b15-894c-2d1ad3d2ee1b,Requirements-Reuse,0.7,Secondary concept from CSV tag 'requirements-reuse' (score: 100%)
78,The principle that requirements intended for reuse should be written with limited reference to speci...,B,Requirements Life Cycle Management,8a4fabf7-17e3-4c96-9c9e-7ece01e33210,Abstraction,1.0,Primary concept from CSV (score: 100%)
78,The principle that requirements intended for reuse should be written with limited reference to speci...,B,Requirements Life Cycle Management,33eb34bc-af8e-4b15-894c-2d1ad3d2ee1b,Requirements-Reuse,0.7,Secondary concept from CSV tag 'requirements-reuse' (score: 100%)
79,The purpose of Prioritize Requirements (5.3) is to:...,B,Requirements Life Cycle Management,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
80,A BA is facilitating a prioritization session (5.3) for a new software release. The Implementation S...,A,Requirements Life Cycle Management,5c8ea049-e0ec-4fb1-9521-bd7a45e0cab0,Risk,0.7,Secondary concept from CSV tag 'risk' (score: 100%)
81,The prioritization factor 'Penalty' (5.3.4.1) primarily influences priority based on:...,B,Requirements Life Cycle Management,ea9247c5-232e-4127-bcef-32af25663a3c,Penalty,1.0,Primary concept from CSV (score: 100%)
82,Which input is necessary for the Prioritize Requirements task (5.3) to ensure the team adheres to th...,C,Requirements Life Cycle Management,2ab6bea8-8d56-4c02-89d7-e6f27dce9f84,Inputs,0.7,Secondary concept from CSV tag 'inputs' (score: 100%)
83,The BA is leading a negotiation session (5.3.4.4) where stakeholders have conflicting priorities reg...,C,Requirements Life Cycle Management,451df097-1f3a-4d6e-a921-5ad51c81da1e,Core-Concepts,1.0,Primary concept from CSV (score: 100%)
83,The BA is leading a negotiation session (5.3.4.4) where stakeholders have conflicting priorities reg...,C,Requirements Life Cycle Management,7f9c7d8d-8be0-45ce-a8d8-5ff199028a77,Value,0.7,Secondary concept from CSV tag 'value' (score: 100%)
84,The purpose of Assess Requirements Changes (5.4) is to:...,A,Requirements Life Cycle Management,ed1b2863-6aaf-409a-945e-632258d28468,Rlcm-Change-Assessment,1.0,Primary concept from CSV (score: 87%)
84,The purpose of Assess Requirements Changes (5.4) is to:...,A,Requirements Life Cycle Management,d07f796c-61ce-4b80-b72e-56e84e22f497,Purpose,0.7,Secondary concept from CSV tag 'purpose' (score: 100%)
85,A stakeholder proposes a major change to an approved design. As the BA performs the impact analysis ...,A,Requirements Life Cycle Management,9860b4d6-a5f2-4b31-9fa2-50db99d137d1,Impact-Analysis,1.0,Primary concept from CSV (score: 100%)
85,A stakeholder proposes a major change to an approved design. As the BA performs the impact analysis ...,A,Requirements Life Cycle Management,344036b2-7a20-47f3-9390-6916df1ab07d,Urgency,0.7,Secondary concept from CSV tag 'urgency' (score: 100%)
86,A BA is determining the formality required for assessing a proposed change (5.4.4.1). The project us...,B,Requirements Life Cycle Management,,NO MAPPING,,
87,"Which output provides the necessary recommendation to approve, modify, or deny a proposed change to ...",A,Requirements Life Cycle Management,ed1b2863-6aaf-409a-945e-632258d28468,Rlcm-Change-Assessment,1.0,Primary concept from CSV (score: 87%)
87,"Which output provides the necessary recommendation to approve, modify, or deny a proposed change to ...",A,Requirements Life Cycle Management,c14940eb-89da-4b9d-a413-e0bd371d3182,Outputs,0.7,Secondary concept from CSV tag 'outputs' (score: 100%)
88,Traceability is listed as a guideline/tool for Assess Requirements Changes (5.4). How is traceabilit...,B,Requirements Life Cycle Management,9860b4d6-a5f2-4b31-9fa2-50db99d137d1,Impact-Analysis,0.7,Secondary concept from CSV tag 'impact-analysis' (score: 100%)
89,The purpose of Approve Requirements (5.5) is to:...,B,Requirements Life Cycle Management,2bb082d6-b226-478c-908b-ca954b2f5fe3,Approvals,1.0,Primary concept from CSV (score: 100%)
